,ID,,,,STUDY TITLE,,,,COMPKEY,,"UNITID/
UNITID2",,,"DIR
FLOW",LANE,START DATE,AMPK,,PMPK,AWDT,,ADT,,,"WEEK
DAYS",DAYS
,302480,,,,"11TH ER AVE SW, NW/O SW SPOKANE ST",,,,1514,,00267/0340,,,NW,STANDARD,07-Apr-2011,949,,878,"7,476",,"5,471",,,5,7
,307561,,,,"11TH ER AVE SW, NW/O SW SPOKANE ST",,,,1514,,00267/0340,,,NW,STANDARD,04-Apr-2012,553,,483,"4,273",,"3,113",,,5,7
,310942,,,,"11TH ER AVE SW, NW/O SW SPOKANE ST",,,,1514,,00267/0340,,,NW,STANDARD,15-Apr-2013,301,,213,"1,998",,"1,502",,,5,7
,310852,,,,"11TH WR AVE SW, N/O 11TH AV SW ACCESS RD",,,,1517,,00307/0320,,,S,STANDARD,03-Apr-2013,48,,80,434,,329,,,5,7
,218608,,,,"11TH WR AVE SW, N/O 11TH CR AVE SW",,,,1519,,00307/0340,,,S,STANDARD,07-Apr-2010,33,,47,305,,229,,,5,7
,206611,,,,"11TH WR AVE SW, N/O SW SPOKANE NR ST",,,,1520,,00307/0343,,,S,STANDARD,06-Apr-2005,41,,59,434,,449,,,5,7
,209274,,,,"11TH WR AVE SW, N/O SW SPOKANE NR ST",,,,1520,,00307/0343,,,S,STANDARD,05-Apr-2006,39,,54,394,,297,,,5,7
,211684,,,,"11TH WR AVE SW, N/O SW SPOKANE NR ST",,,,1520,,00307/0343,,,S,STANDARD,04-Apr-2007,40,,56,349,,265,,,5,7
,213801,,,,"11TH WR AVE SW, N/O SW SPOKANE NR ST",,,,1520,,00307/0343,,,S,STANDARD,02-Apr-2008,29,,50,278,,210,,,5,7
,216287,,,,"11TH WR AVE SW, N/O SW SPOKANE NR ST",,,,1520,,00307/0343,,,S,STANDARD,08-Apr-2009,19,,44,224,,167,,,5,7
,206991,,,,"12TH AVE E, N/O E JOHN ST",,,,1551,,00325/0020,,,S,STANDARD,23-May-2005,424,,424,"5,177",,"4,681",,,5,7
,207416,,,,"12TH AVE E, N/O E JOHN ST",,,,1551,,00325/0020,,,N,STANDARD,20-Jul-2005,218,,487,"4,242",,"3,922",,,5,7
