Precinct,Race,LEG,CC,CG,CounterGroup,Party,CounterType,SumOfCount
ALG 30-3141,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Counted,148
ALG 30-3141,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Over Voted,0
ALG 30-3141,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Yes,21
ALPINE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,1,Total,NP,No,171
ALPINE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,1,Total,NP,Registered Voters,558
ALPINE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,1,Total,NP,Times Blank Voted,0
ALPINE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,1,Total,NP,Times Counted,211
ALPINE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,1,Total,NP,Times Over Voted,0
ALPINE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,1,Total,NP,Yes,40
AMES LAKE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,1,Total,NP,No,175
AMES LAKE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,1,Total,NP,Registered Voters,820
AMES LAKE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,1,Total,NP,Times Blank Voted,0
AMES LAKE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,1,Total,NP,Times Counted,247
AMES LAKE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,1,Total,NP,Times Over Voted,0
AMES LAKE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,1,Total,NP,Yes,72
ANGEL CITY,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,37,2,9,Total,NP,No,136
ANGEL CITY,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,37,2,9,Total,NP,Registered Voters,721
ANGEL CITY,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,37,2,9,Total,NP,Times Blank Voted,0
ANGEL CITY,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,37,2,9,Total,NP,Times Counted,224
ANGEL CITY,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,37,2,9,Total,NP,Times Over Voted,0
ANGEL CITY,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,37,2,9,Total,NP,Yes,88
ANGELO,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,No,128
ANGELO,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Registered Voters,440
ANGELO,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Blank Voted,0
ANGELO,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Counted,150
ANGELO,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Over Voted,0
ANGELO,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Yes,22
ARIA,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,11,9,8,Total,NP,No,120
ARIA,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,11,9,8,Total,NP,Registered Voters,426
ARIA,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,11,9,8,Total,NP,Times Blank Voted,0
ARIA,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,11,9,8,Total,NP,Times Counted,171
ARIA,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,11,9,8,Total,NP,Times Over Voted,1
ARIA,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,11,9,8,Total,NP,Yes,50
ARTHUR,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,No,298
ARTHUR,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,Registered Voters,845
ARTHUR,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,Times Blank Voted,1
ARTHUR,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,Times Counted,369
ARTHUR,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,Times Over Voted,0
ARTHUR,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,Yes,70
ASPEN GLEN,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,45,3,1,Total,NP,No,96
ASPEN GLEN,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,45,3,1,Total,NP,Registered Voters,382
ASPEN GLEN,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,45,3,1,Total,NP,Times Blank Voted,1
ASPEN GLEN,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,45,3,1,Total,NP,Times Counted,124
ASPEN GLEN,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,45,3,1,Total,NP,Times Over Voted,0
ASPEN GLEN,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,45,3,1,Total,NP,Yes,27
ATKINSON,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,No,237
ATKINSON,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,Registered Voters,549
